ANO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACION DANE,No. INSTITUCIONES
2018,4,SANTANDER,PUERTO WILCHES,1612,32791,33
2019,4,HUILA,GIGANTE,733,24634,25
2020,1,NORTE DE SANTANDER,PAMPLONA,6688,53909,54
2018,3,HUILA,PAICOL,62,6583,7
2019,1,BOYACA,RONDON,47,2384,3
2020,1,QUINDIO,SALENTO,540,9529,10
2019,3,BOYACA,CALDAS,31,3127,3
2018,4,CUNDINAMARCA,COGUA,687,22067,23
2019,2,LA GUAJIRA,FONSECA,3169,43728,45
2020,1,QUINDIO,CORDOBA,98,5739,6
2018,3,NARI�O,GUALMATAN,109,7057,8
2018,3,SANTANDER,GUACA,64,5916,7
2020,1,HUILA,GIGANTE,958,24726,25
2019,3,TOLIMA,HONDA,3072,24585,25
2018,3,CAUCA,SILVIA,112,37337,38
2018,4,SANTANDER,VETAS,26,2114,2
2019,4,HUILA,NATAGA,58,6520,7
2018,4,CALDAS,CHINCHINA,6898,51271,52
2019,2,NARI�O,CONSACA,86,13761,14
2019,4,CUNDINAMARCA,SASAIMA,269,11104,12
2019,4,MAGDALENA,CIENAGA,7037,122285,123
2019,4,ANTIOQUIA,OLAYA,184,3150,4
2019,1,SANTANDER,SAN BENITO,40,2957,3
2019,4,CAUCA,LOPEZ,108,18761,20
2019,1,NARI�O,SAN BERNARDO,126,9186,10
2018,4,CESAR,EL COPEY,27,30159,31
2018,4,CUNDINAMARCA,GUATAVITA,311,6325,7
2018,4,CORDOBA,PUERTO ESCONDIDO,165,23649,24
2019,4,CUNDINAMARCA,RICAURTE,1918,13652,14
2019,3,BOYACA,PANQUEBA,38,1702,3
2018,4,CAUCA,SANTA ROSA,42,5339,5
2019,4,CUNDINAMARCA,VIANI,37,4497,5
2019,1,AMAZONAS,MIRITI - PARANA,0,1860,2
2019,3,CASANARE,MONTERREY,1001,17797,18
2018,4,VALLE DEL CAUCA,CALIMA,626,18054,18
2019,3,CORDOBA,LA APARTADA,711,15058,15
2019,2,CUNDINAMARCA,NOCAIMA,175,6317,7
2018,4,HUILA,SANTA MARIA,220,10405,11
2019,1,BOYACA,SOGAMOSO,22663,129346,130
2018,3,CAUCA,GUACHENE,6,19671,20
2019,4,ANTIOQUIA,ANORI,1078,18737,19
